player_id,name_ja,has_cache,has_meta,profile_ok,roman_ok,reasons
01005134,高橋 昂也,True,True,True,True,
01005137,東浜 巨,True,True,True,True,
01005153,佐々木　健,True,True,True,True,
01005157,田中 晴也,True,True,True,True,
01005159,鈴木 叶,True,True,True,True,
01105134,池田 隆英,True,True,True,True,
01105135,石川 慎吾,True,True,True,True,
01105138,泉 圭輔,True,True,True,True,
01105150,安德 駿,True,True,True,True,
01105151,石塚 綜一郎,True,True,True,True,
01105152,飯田 琉斗,True,True,True,True,
01105153,阿部 翔太,True,True,True,True,
01105155,有薗 直輝,True,True,True,True,
01105159,石黒 佑弥,True,True,True,True,
01205118,西野 勇士,True,True,True,True,
01205138,中村 稔弥,True,True,True,True,
01205150,庄子 雄大,True,True,True,True,
01205152,谷端 将伍,True,True,True,True,
01205155,達 孝太,True,True,True,True,
01305130,植田 海,True,True,True,True,
01305131,大島 洋平,True,True,True,True,
01305138,大貫 晋一,True,True,True,True,
01305152,エドポロ ケイン,True,True,True,True,
01305153,井上 朋也,True,True,True,True,
01305157,大津 亮介,True,True,True,True,
01305159,宇都宮 葵星,True,True,True,True,
01405130,野間 峻祥,True,True,True,True,
01405138,林 晃汰,True,True,True,True,
01405150,田中 陽翔,True,True,True,True,
01405152,西川 篤夢,True,True,True,True,
01505118,辛島 航,True,True,True,True,
01505136,北浦 竜次,True,True,True,True,
01505150,片山 楽生,True,True,True,True,
01505151,大関 友久,True,True,True,True,
01505152,岡村 了樹,True,True,True,True,
01505155,上川畑 大悟,True,True,True,True,
01505157,北村 恵吾,True,True,True,True,
01605132,平沼 翔太,True,True,True,True,
01605138,増田 陸,True,True,True,True,
01605152,冨士 隼斗,True,True,True,True,
01605157,林 優樹,True,True,True,True,
01605159,日當 直喜,True,True,True,True,
01705130,栗原 陵矢,True,True,True,True,
01705132,小澤 怜史,True,True,True,True,
01705134,古賀 優大,True,True,True,True,
01705138,小園 海斗,True,True,True,True,
01705152,窪田 洋祐,True,True,True,True,
01705155,桐敷 拓馬,True,True,True,True,
01805136,宮本 丈,True,True,True,True,
01805150,藤田 琉生,True,True,True,True,
01805151,武藤 敦貴,True,True,True,True,
01805152,増居 翔太,True,True,True,True,
01905134,澤田 圭佑,True,True,True,True,
01905136,清水 達也,True,True,True,True,
01905138,鈴木 翔天,True,True,True,True,
01905139,平良 拳太郎,True,True,True,True,
01905151,黒川 史陽,True,True,True,True,
01905152,櫻井 ユウヤ,True,True,True,True,
03005150,Ｌ．ボイト,True,True,True,True,
03005157,Ｅ．ルシアーノ,True,True,True,True,
03005159,Ｃ．ロドリゲス,True,True,True,True,
03105136,山本 拓実,True,True,True,True,
03105150,森 駿太,True,True,True,True,
03105151,山瀬 慎之助,True,True,True,True,
03105157,村松 開人,True,True,True,True,
