issue,player_id,name_ja,team,has_batting,has_pitching,in_roster_2026,category,row_count,years_sample
empty_player_id,,アコスタ,読売ジャイアンツ,False,True,,needs_player_id,2,2013
empty_player_id,,アダメス,読売ジャイアンツ,False,True,,needs_player_id,4,2018
empty_player_id,,アッチソン,阪神タイガース,False,True,,needs_player_id,4,2008
empty_player_id,,アドゥワ 誠,広島東洋カープ,False,True,,needs_player_id,8,2018
empty_player_id,,アビラ,東京ヤクルトスワローズ,True,False,,needs_player_id,1,2025
empty_player_id,,アブレイユ,千葉ロッテマリーンズ,False,True,,needs_player_id,2,2008
empty_player_id,,アブレイユ,埼玉西武ライオンズ,False,True,,needs_player_id,2,2024
empty_player_id,,アラウホ,中日ドラゴンズ,False,True,,needs_player_id,2,2017
empty_player_id,,アルカンタラ,阪神タイガース,False,True,,needs_player_id,4,2021
empty_player_id,,アルバラデホ,読売ジャイアンツ,False,True,,needs_player_id,2,2011
empty_player_id,,アルバース,オリックス・バファローズ,False,True,,needs_player_id,6,2018
empty_player_id,,アンソニー・カーター,北海道日本ハムファイターズ,False,True,,needs_player_id,2,2014
empty_player_id,,アンダーソン,広島東洋カープ,False,True,,needs_player_id,4,2022
empty_player_id,,アンドリース,読売ジャイアンツ,False,True,,needs_player_id,2,2022
empty_player_id,,アーリン,北海道日本ハムファイターズ,False,True,,needs_player_id,2,2021
empty_player_id,,イノーア,東京ヤクルトスワローズ,False,True,,needs_player_id,2,2020
empty_player_id,,インチェ,東北楽天ゴールデンイーグルス,False,True,,needs_player_id,6,2006
empty_player_id,,イ・デウン,千葉ロッテマリーンズ,False,True,,needs_player_id,4,2015
empty_player_id,,ウィック,横浜DeNAベイスターズ,False,True,,needs_player_id,2,2024
empty_player_id,,ウィリアムス,埼玉西武ライオンズ,False,True,,needs_player_id,6,2012
empty_player_id,,ウィリアムス,阪神タイガース,False,True,,needs_player_id,10,2005
empty_player_id,,ウィルカーソン,阪神タイガース,False,True,,needs_player_id,2,2022
empty_player_id,,ウィンゲンター,阪神タイガース,True,False,,needs_player_id,1,2025
empty_player_id,,ウィーランド,横浜DeNAベイスターズ,False,True,,needs_player_id,4,2017
empty_player_id,,ウェンデルケン,横浜DeNAベイスターズ,False,True,,needs_player_id,4,2023
empty_player_id,,ウォルターズ,中日ドラゴンズ,True,False,,needs_player_id,1,2025
empty_player_id,,ウルキデス,東京ヤクルトスワローズ,False,True,,needs_player_id,2,2018
empty_player_id,,ウルフ,北海道日本ハムファイターズ,False,True,,needs_player_id,8,2010
empty_player_id,,ウルフ,埼玉西武ライオンズ,False,True,,needs_player_id,6,2016
empty_player_id,,ウルフ,福岡ソフトバンクホークス,False,True,,needs_player_id,4,2014
empty_player_id,,ウーゴ,東京ヤクルトスワローズ,False,True,,needs_player_id,2,2012
empty_player_id,,エスコバー,北海道日本ハムファイターズ,False,True,,needs_player_id,2,2017
empty_player_id,,エスコバー,横浜DeNAベイスターズ,False,True,,needs_player_id,14,2017
empty_player_id,,エスパーダ,東京ヤクルトスワローズ,False,True,,needs_player_id,2,2024
empty_player_id,,エスピナル,東京ヤクルトスワローズ,False,True,,needs_player_id,2,2023
empty_player_id,,エスピノーザ,オリックス・バファローズ,False,True,,needs_player_id,2,2024
empty_player_id,,エップラー,オリックス・バファローズ,False,True,,needs_player_id,2,2019
empty_player_id,,エドワーズ,阪神タイガース,False,True,,needs_player_id,4,2020
empty_player_id,,エレラ,横浜DeNAベイスターズ,False,True,,needs_player_id,2,2015
empty_player_id,,エンス,埼玉西武ライオンズ,False,True,,needs_player_id,4,2022
empty_player_id,,オクスプリング,阪神タイガース,False,True,,needs_player_id,2,2006
empty_player_id,,オスカル,広島東洋カープ,False,True,,needs_player_id,4,2016
empty_player_id,,オスナ,千葉ロッテマリーンズ,False,True,,needs_player_id,2,2022
empty_player_id,,オスナ,東京ヤクルトスワローズ,True,False,,needs_player_id,1,2025
empty_player_id,,オスナ,福岡ソフトバンクホークス,False,True,,needs_player_id,4,2023
